Product,Year,Month,Week,Quantity,Avg_cost,Standart_price,Category,Holiday,Temp_Hi,Temp_Lo,Temp_Rain
7290003029181,2018,8,32,938,6.90,7.92,100192,0,32.00,25.14,0
7290004125417,2018,8,32,1764,1.00,1.00,100220,0,32.00,25.14,0
7290000042015,2018,8,32,5653,3.74,3.74,100581,0,32.00,25.14,0
379609,2018,8,32,1277,2.43,2.43,100405,0,32.00,25.14,0
7290008909877,2018,8,32,703,31.88,30.88,103238,0,32.00,25.14,0
7290000057477,2018,8,32,744,6.21,6.21,100188,0,32.00,25.14,0
7290005839313,2018,8,32,1357,3.06,3.06,100228,0,32.00,25.14,0
7290000041858,2018,8,32,2758,1.75,1.75,100222,0,32.00,25.14,0
7290004122195,2018,8,32,776,9.30,9.18,100211,0,32.00,25.14,0
7290000688732,2018,8,32,580,8.49,8.49,100359,0,32.00,25.14,0
7290000042442,2018,8,32,2152,4.14,4.14,100188,0,32.00,25.14,0
7290000688381,2018,8,32,588,7.30,6.57,100360,0,32.00,25.14,0
7290004125509,2018,8,32,2016,1.09,1.09,100222,0,32.00,25.14,0
7290000042435,2018,8,32,924,3.92,3.92,100188,0,32.00,25.14,0
7290000042404,2018,8,32,936,4.37,4.37,100581,0,32.00,25.14,0
7290004554781,2018,8,32,1200,1.47,1.47,103560,0,32.00,25.14,0
7290000379104,2018,8,32,5815,4.97,4.97,100399,0,32.00,25.14,0
7290002065555,2018,8,32,1145,6.74,7.73,100405,0,32.00,25.14,0
7290000043814,2018,8,32,1628,4.06,4.06,100233,0,32.00,25.14,0
7290005838002,2018,8,32,1290,2.75,2.75,100416,0,32.00,25.14,0
7290003029792,2018,8,32,1014,13.82,13.82,100194,0,32.00,25.14,0
7290006764072,2018,8,32,4703,3.75,3.75,103417,0,32.00,25.14,0
7290004554330,2018,8,32,650,1.47,1.47,103560,0,32.00,25.14,0
7290011018313,2018,8,32,503,18.89,18.89,100329,0,32.00,25.14,0
7290003029433,2018,8,32,1913,3.57,3.57,100191,0,32.00,25.14,0
7290008713184,2018,8,32,886,6.20,5.90,100406,0,32.00,25.14,0
86,2018,8,32,1807,3.36,3.36,100398,0,32.00,25.14,0
7290001594155,2018,8,32,960,3.44,3.44,103240,0,32.00,25.14,0
7290004127336,2018,8,32,1194,4.02,4.02,100204,0,32.00,25.14,0
7290002824183,2018,8,32,1048,6.27,6.27,100200,0,32.00,25.14,0
7290004131074,2018,8,32,14696,4.14,4.14,100188,0,32.00,25.14,0
5906485301012,2018,8,32,9384,1.75,1.80,100336,0,32.00,25.14,0
7290004125400,2018,8,32,1284,1.09,1.09,100221,0,32.00,25.14,0
7290107647762,2018,8,32,188,12.63,12.63,102939,0,32.00,25.14,0
7290011133450,2018,8,32,5400,1.04,1.04,100538,0,32.00,25.14,0
7290000408316,2018,8,32,1707,2.33,2.33,100214,0,32.00,25.14,0
7290003119110,2018,8,32,1641,31.88,30.88,103238,0,32.00,25.14,0
7290000056845,2018,8,32,1704,6.21,6.21,100188,0,32.00,25.14,0
7290005201882,2018,8,32,1032,12.00,13.36,100303,0,32.00,25.14,0
7290013027368,2018,8,32,2424,2.84,2.84,100405,0,32.00,25.14,0
7290000211503,2018,8,32,1170,2.32,2.20,100243,0,32.00,25.14,0
7290002331322,2018,8,32,3517,7.88,7.48,100359,0,32.00,25.14,0
7290004125455,2018,8,32,2964,1.61,1.61,100222,0,32.00,25.14,0
7290004127329,2018,8,32,3182,4.02,4.02,100204,0,32.00,25.14,0
7290107932080,2018,8,32,2100,4.48,5.28,100845,0,32.00,25.14,0
379432,2018,8,32,4002,1.33,1.33,100405,0,32.00,25.14,0
7290003457953,2018,8,32,480,6.09,6.09,103560,0,32.00,25.14,0
7290003029815,2018,8,32,901,10.54,10.54,100845,0,32.00,25.14,0
7290000048185,2018,8,32,1171,3.23,3.23,100200,0,32.00,25.14,0
7290004120832,2018,8,32,1094,8.28,8.28,100188,0,32.00,25.14,0
7290008645935,2018,8,32,1583,6.87,6.87,100466,0,32.00,25.14,0
7290001201596,2018,8,32,984,7.50,7.50,100321,0,32.00,25.14,0
17,2018,8,32,3525,3.65,3.65,100400,0,32.00,25.14,0
7290000066318,2018,8,32,1652,2.77,2.77,100381,0,32.00,25.14,0
7290004923099,2018,8,32,1216,8.34,8.34,100359,0,32.00,25.14,0
7290011017866,2018,8,32,2764,2.02,2.23,103240,0,32.00,25.14,0
7290002871361,2018,8,32,2760,4.35,4.35,103417,0,32.00,25.14,0
7290002390220,2018,8,32,5468,0.76,0.76,100405,0,32.00,25.14,0
7290001045220,2018,8,32,524,16.96,16.96,100594,0,32.00,25.14,0
7290014940901,2018,8,32,620,8.68,8.68,100404,0,32.00,25.14,0
7290002390046,2018,8,32,1196,4.47,4.47,100399,0,32.00,25.14,0
7290011017873,2018,8,32,1490,2.02,2.23,103240,0,32.00,25.14,0
7290002824640,2018,8,32,1941,3.15,3.15,100200,0,32.00,25.14,0
7290004584528,2018,8,32,1451,2.33,2.33,100214,0,32.00,25.14,0
7290000046327,2018,8,32,624,8.66,8.53,100211,0,32.00,25.14,0
7290004125738,2018,8,32,912,4.29,4.21,100233,0,32.00,25.14,0
7290000041445,2018,8,32,3624,4.02,4.02,100204,0,32.00,25.14,0
7290003321155,2018,8,32,1668,2.97,2.97,100216,0,32.00,25.14,0
7290000057118,2018,8,32,1113,15.49,14.87,100211,0,32.00,25.14,0
7290000408354,2018,8,32,1933,2.97,2.97,100216,0,32.00,25.14,0
7290000178707,2018,8,32,1522,2.02,2.02,100379,0,32.00,25.14,0
7290004127800,2018,8,32,875,6.46,6.46,100200,0,32.00,25.14,0
7290000043111,2018,8,32,580,5.51,5.51,100198,0,32.00,25.14,0
7290011194246,2018,8,32,2847,4.31,4.31,100204,0,32.00,25.14,0
72940761,2018,8,32,4140,1.91,1.91,100228,0,32.00,25.14,0
7290000688381,2018,8,31,393,6.88,6.57,100360,0,31.71,24.14,0
7290004554330,2018,8,31,750,1.47,1.47,103560,0,31.71,24.14,0
7290008645935,2018,8,31,656,6.87,6.87,100466,0,31.71,24.14,0
7290000042404,2018,8,31,418,4.37,4.37,100581,0,31.71,24.14,0
7290000043814,2018,8,31,692,4.06,4.06,100233,0,31.71,24.14,0
379432,2018,8,31,1833,1.33,1.33,100405,0,31.71,24.14,0
7290003029433,2018,8,31,819,3.57,3.57,100191,0,31.71,24.14,0
7290000379104,2018,8,31,2178,4.97,4.97,100399,0,31.71,24.14,0
7290000042435,2018,8,31,351,3.92,3.92,100188,0,31.71,24.14,0
7290004554781,2018,8,31,150,1.47,1.47,103560,0,31.71,24.14,0
7290000688732,2018,8,31,275,8.49,8.49,100359,0,31.71,24.14,0
379609,2018,8,31,526,2.43,2.43,100405,0,31.71,24.14,0
7290000041858,2018,8,31,1296,1.75,1.75,100222,0,31.71,24.14,0
