Customer_ID,Weeknum,Product,Customer_Number,Sum_Quantity,Avg_Price_Change,Avg_Price_Change_1,Sum_Quantity_1_minus_Sum_Quantity,Avg_Quantity_for_Week,Avg_Quantity_for_PO,All_week,Count_week_PO,Standard_Price,Above_Standard_Price,Below_Standard_Price,Total_Quantity_for_Customer,Total_Quantity,Holiday,Temp_Hi,Temp_Lo,Temp_Rain,Frequency_PO,Sum_Quantity_1_Y
0.0056,31,7290000408354,416000005,4,2.97,2.97,0,3.83,5.18,23,17,2.97,0,0,71258,12757437,0,31.71,24.14,0,1.35,4
0.0056,32,7290000408354,416000005,4,2.97,2.75,0,3.83,5.18,23,17,2.97,0,0,71258,12757437,0,32,25.14,0,1.35,4
0.0056,33,7290000408354,416000005,4,2.75,2.75,0,3.83,5.18,23,17,2.97,0,1,71258,12757437,0,31.57,24.29,0,1.35,4
0.0056,34,7290000408354,416000005,4,2.75,2.75,0,3.83,5.18,23,17,2.97,0,1,71258,12757437,0,31.57,24.43,0,1.35,4
0.0129,11,7290000408354,416000006,12,2.97,2.97,7,10.96,13.26,23,19,2.97,0,0,164021,12757437,0,21.57,11.29,0,1.21,19
0.0129,12,7290000408354,416000006,19,2.97,2.97,5,10.96,13.26,23,19,2.97,0,0,164021,12757437,0,30.29,12.29,0,1.21,12
0.0129,13,7290000408354,416000006,12,2.97,2.97,0,10.96,13.26,23,19,2.97,0,0,164021,12757437,1,24.86,14.43,0,1.21,12
0.0129,14,7290000408354,416000006,12,2.97,2.97,0,10.96,13.26,23,19,2.97,0,0,164021,12757437,1,25.71,13.43,0,1.21,12
0.0129,15,7290000408354,416000006,12,2.97,2.97,0,10.96,13.26,23,19,2.97,0,0,164021,12757437,1,23.43,14.57,1,1.21,12
0.0129,16,7290000408354,416000006,12,2.97,2.97,0,10.96,13.26,23,19,2.97,0,0,164021,12757437,1,26.86,17.57,0,1.21,12
0.0129,17,7290000408354,416000006,12,2.97,2.97,-12,10.96,13.26,23,19,2.97,0,0,164021,12757437,0,24.14,15.29,1,1.21,0
0.0129,18,7290000408354,416000006,0,2.97,2.97,12,10.96,13.26,23,19,2.97,0,1,164021,12757437,1,34,21,0,1.21,12
0.0129,19,7290000408354,416000006,12,2.97,2.97,0,10.96,13.26,23,19,2.97,0,0,164021,12757437,0,27.29,18.29,0,1.21,12
0.0129,20,7290000408354,416000006,12,2.97,2.97,-3,10.96,13.26,23,19,2.97,0,0,164021,12757437,1,31.86,19,0,1.21,9
0.0129,21,7290000408354,416000006,9,2.97,2.97,15,10.96,13.26,23,19,2.97,0,0,164021,12757437,1,33.14,21.14,0,1.21,12
0.0129,22,7290000408354,416000006,12,2.97,2.97,0,10.96,13.26,23,19,2.97,0,0,164021,12757437,0,28.43,21.29,0,1.21,12
0.0129,23,7290000408354,416000006,12,2.97,2.97,0,10.96,13.26,23,19,2.97,0,0,164021,12757437,0,29.71,21.43,0,1.21,12
0.0129,24,7290000408354,416000006,12,2.97,2.97,-12,10.96,13.26,23,19,2.97,0,0,164021,12757437,0,32.29,21.29,0,1.21,0
0.0129,25,7290000408354,416000006,0,2.97,2.97,12,10.96,13.26,23,19,2.97,0,1,164021,12757437,0,30.71,22.71,0,1.21,12
0.0129,26,7290000408354,416000006,12,2.97,2.97,-12,10.96,13.26,23,19,2.97,0,0,164021,12757437,1,26.29,19.57,0,1.21,0
0.0129,28,7290000408354,416000006,0,2.97,2.97,24,10.96,13.26,23,19,2.97,0,1,164021,12757437,0,32.14,23.86,0,1.21,24
0.0129,29,7290000408354,416000006,24,2.97,2.97,0,10.96,13.26,23,19,2.97,0,0,164021,12757437,1,32,24.43,0,1.21,12
0.0129,30,7290000408354,416000006,12,2.97,2.97,0,10.96,13.26,23,19,2.97,0,0,164021,12757437,0,33,24.71,0,1.21,12
0.0129,31,7290000408354,416000006,12,2.97,2.97,-12,10.96,13.26,23,19,2.97,0,0,164021,12757437,0,31.71,24.14,0,1.21,0
0.0129,32,7290000408354,416000006,0,2.97,2.75,12,10.96,13.26,23,19,2.97,0,1,164021,12757437,0,32,25.14,0,1.21,12
0.0129,33,7290000408354,416000006,12,2.75,2.75,8,10.96,13.26,23,19,2.97,0,1,164021,12757437,0,31.57,24.29,0,1.21,20
0.0129,34,7290000408354,416000006,20,2.75,2.75,-4,10.96,13.26,23,19,2.97,0,1,164021,12757437,0,31.57,24.43,0,1.21,8
0.0077,11,7290000408354,416000007,12,2.97,2.97,0,11.83,15.11,23,18,2.97,0,0,98187,12757437,0,21.57,11.29,0,1.28,12
0.0077,12,7290000408354,416000007,12,2.97,2.97,-12,11.83,15.11,23,18,2.97,0,0,98187,12757437,0,30.29,12.29,0,1.28,0
0.0077,13,7290000408354,416000007,0,2.97,2.97,8,11.83,15.11,23,18,2.97,0,1,98187,12757437,1,24.86,14.43,0,1.28,8
0.0077,14,7290000408354,416000007,8,2.97,2.97,16,11.83,15.11,23,18,2.97,0,0,98187,12757437,1,25.71,13.43,0,1.28,24
0.0077,15,7290000408354,416000007,24,2.97,2.97,0,11.83,15.11,23,18,2.97,0,0,98187,12757437,1,23.43,14.57,1,1.28,12
0.0077,16,7290000408354,416000007,12,2.97,2.97,-12,11.83,15.11,23,18,2.97,0,0,98187,12757437,1,26.86,17.57,0,1.28,0
0.0077,17,7290000408354,416000007,0,2.97,2.97,12,11.83,15.11,23,18,2.97,0,1,98187,12757437,0,24.14,15.29,1,1.28,12
0.0077,18,7290000408354,416000007,12,2.97,2.97,0,11.83,15.11,23,18,2.97,0,0,98187,12757437,1,34,21,0,1.28,12
0.0077,19,7290000408354,416000007,12,2.97,2.97,0,11.83,15.11,23,18,2.97,0,0,98187,12757437,0,27.29,18.29,0,1.28,12
0.0077,20,7290000408354,416000007,12,2.97,2.97,-12,11.83,15.11,23,18,2.97,0,0,98187,12757437,1,31.86,19,0,1.28,0
0.0077,21,7290000408354,416000007,0,2.97,2.97,24,11.83,15.11,23,18,2.97,0,1,98187,12757437,1,33.14,21.14,0,1.28,24
0.0077,22,7290000408354,416000007,24,2.97,2.97,0,11.83,15.11,23,18,2.97,0,0,98187,12757437,0,28.43,21.29,0,1.28,12
0.0077,23,7290000408354,416000007,12,2.97,2.97,8,11.83,15.11,23,18,2.97,0,0,98187,12757437,0,29.71,21.43,0,1.28,20
0.0077,24,7290000408354,416000007,20,2.97,2.97,12,11.83,15.11,23,18,2.97,0,0,98187,12757437,0,32.29,21.29,0,1.28,16
0.0077,25,7290000408354,416000007,16,2.97,2.97,-4,11.83,15.11,23,18,2.97,0,0,98187,12757437,0,30.71,22.71,0,1.28,12
0.0077,26,7290000408354,416000007,12,2.97,2.97,-12,11.83,15.11,23,18,2.97,0,0,98187,12757437,1,26.29,19.57,0,1.28,0
0.0077,27,7290000408354,416000007,0,2.97,2.97,28,11.83,15.11,23,18,2.97,0,1,98187,12757437,0,31.43,23.14,0,1.28,28
0.0077,28,7290000408354,416000007,28,2.97,2.97,-28,11.83,15.11,23,18,2.97,0,0,98187,12757437,0,32.14,23.86,0,1.28,0
0.0077,29,7290000408354,416000007,0,2.97,2.97,12,11.83,15.11,23,18,2.97,0,1,98187,12757437,1,32,24.43,0,1.28,12
0.0077,30,7290000408354,416000007,12,2.97,2.97,-12,11.83,15.11,23,18,2.97,0,0,98187,12757437,0,33,24.71,0,1.28,0
0.0077,31,7290000408354,416000007,0,2.97,2.97,24,11.83,15.11,23,18,2.97,0,1,98187,12757437,0,31.71,24.14,0,1.28,24
0.0077,32,7290000408354,416000007,24,2.97,2.75,-8,11.83,15.11,23,18,2.97,0,0,98187,12757437,0,32,25.14,0,1.28,8
0.0077,33,7290000408354,416000007,8,2.75,2.75,4,11.83,15.11,23,18,2.97,0,1,98187,12757437,0,31.57,24.29,0,1.28,12
0.0077,34,7290000408354,416000007,12,2.75,2.75,0,11.83,15.11,23,18,2.97,0,1,98187,12757437,0,31.57,24.43,0,1.28,12
0.0098,11,7290000408354,416000008,12,2.97,2.97,-12,9.04,16,23,13,2.97,0,0,124461,12757437,0,21.57,11.29,0,1.77,0
0.0098,13,7290000408354,416000008,0,2.97,2.97,12,9.04,16,23,13,2.97,0,1,124461,12757437,1,24.86,14.43,0,1.77,12
0.0098,14,7290000408354,416000008,12,2.97,2.97,-12,9.04,16,23,13,2.97,0,0,124461,12757437,1,25.71,13.43,0,1.77,0
0.0098,15,7290000408354,416000008,0,2.97,2.97,12,9.04,16,23,13,2.97,0,1,124461,12757437,1,23.43,14.57,1,1.77,12
0.0098,16,7290000408354,416000008,12,2.97,2.97,0,9.04,16,23,13,2.97,0,0,124461,12757437,1,26.86,17.57,0,1.77,12
0.0098,17,7290000408354,416000008,12,2.97,2.97,-12,9.04,16,23,13,2.97,0,0,124461,12757437,0,24.14,15.29,1,1.77,0
0.0098,18,7290000408354,416000008,0,2.97,2.97,24,9.04,16,23,13,2.97,0,1,124461,12757437,1,34,21,0,1.77,24
0.0098,19,7290000408354,416000008,24,2.97,2.97,-1,9.04,16,23,13,2.97,0,0,124461,12757437,0,27.29,18.29,0,1.77,23
0.0098,20,7290000408354,416000008,23,2.97,2.97,13,9.04,16,23,13,2.97,0,0,124461,12757437,1,31.86,19,0,1.77,12
0.0098,21,7290000408354,416000008,12,2.97,2.97,-12,9.04,16,23,13,2.97,0,0,124461,12757437,1,33.14,21.14,0,1.77,0
0.0098,22,7290000408354,416000008,0,2.97,2.97,12,9.04,16,23,13,2.97,0,1,124461,12757437,0,28.43,21.29,0,1.77,12
0.0098,23,7290000408354,416000008,12,2.97,2.97,-12,9.04,16,23,13,2.97,0,0,124461,12757437,0,29.71,21.43,0,1.77,0
0.0098,24,7290000408354,416000008,0,2.97,2.97,12,9.04,16,23,13,2.97,0,1,124461,12757437,0,32.29,21.29,0,1.77,12
0.0098,25,7290000408354,416000008,12,2.97,2.97,-12,9.04,16,23,13,2.97,0,0,124461,12757437,0,30.71,22.71,0,1.77,0
0.0098,28,7290000408354,416000008,0,2.97,2.97,25,9.04,16,23,13,2.97,0,1,124461,12757437,0,32.14,23.86,0,1.77,25
0.0098,29,7290000408354,416000008,25,2.97,2.97,47,9.04,16,23,13,2.97,0,0,124461,12757437,1,32,24.43,0,1.77,24
0.0098,30,7290000408354,416000008,24,2.97,2.97,-12,9.04,16,23,13,2.97,0,0,124461,12757437,0,33,24.71,0,1.77,12
0.0098,31,7290000408354,416000008,12,2.97,2.97,4,9.04,16,23,13,2.97,0,0,124461,12757437,0,31.71,24.14,0,1.77,16
0.0098,32,7290000408354,416000008,16,2.97,2.97,-16,9.04,16,23,13,2.97,0,0,124461,12757437,0,32,25.14,0,1.77,0
0.0098,34,7290000408354,416000008,0,2.97,2.75,12,9.04,16,23,13,2.97,0,1,124461,12757437,0,31.57,24.43,0,1.77,12
